@relation 'chat-weka.filters.unsupervised.instance.RemoveWithValues-S0.0-C2-L2,3,4+chat-weka.filters.unsupervised.instance.RemoveWithValues-S0.0-C2-L1,2,3+chat-weka.filters.unsupervised.instance.RemoveWithValues-S0.0-C2-L1,2,4+chat-weka.filters.unsupervised.instance.RemoveWithValues-S0.0-C2-L1,3,4'

@attribute class_conducta {1,2,3,4,5,6,7,8,9,10,11,12}
@attribute class_reaccion {positiva,negativa,pregunta,respuesta}
@attribute class_area {socio-emocional,tarea}
@attribute nombre string
@attribute mensaje string

@data
3,positiva,socio-emocional,Roberto,'Dale dale, joya.'
3,positiva,socio-emocional,Pedro,bárbaro
3,positiva,socio-emocional,Pedro,'Dale, por mi no hay problema.'
1,positiva,socio-emocional,Roberto,gracias
1,positiva,socio-emocional,Pedro,'Buen día gente.'
1,positiva,socio-emocional,Roberto,'Buen dia'
3,positiva,socio-emocional,Ramiro,'Se, posta.'
1,positiva,socio-emocional,Juan,buenas
1,positiva,socio-emocional,Juan,'buenas buenas'
1,positiva,socio-emocional,Pedro,'como estas?'
1,positiva,socio-emocional,María,'Buenas buenas'
1,positiva,socio-emocional,Juan,buenassss!!
1,positiva,socio-emocional,Ramiro,hola!!!!!!
1,positiva,socio-emocional,Roberto,'Hola hola'
1,positiva,socio-emocional,Roberto,'somo un parrr'
3,positiva,socio-emocional,Pedro,'Dale, ni idea yo le mande los numeros para identificar que cosa respondia que, pero si se puede armar todo junto lo hacemos mas tipo informe'
6,respuesta,tarea,Juan,'Hola chicos, para los que no pudieron ir a la última teoría de la materia, les envié un link sobre un apunte de Aprendizaje de maquinas para que puedan tener una idea de lo que se está preguntando.'
6,respuesta,tarea,Pedro,'Los sistemas que aprenden son sistemas capaces de optimizar un criterio de desempeño usando datos de ejemplo o experiencia pasada.'
6,respuesta,tarea,Juan,'Se dice que un programa aprende de una experiencia E con respecto a una clase de tareas T y medida de desempeño P, si su desempeño en las tareas en T, de acuerdo con la medida P, mejora con la experiencia E.'
6,respuesta,tarea,María,'Una forma sencilla de explicar la principal ventaja del aprendizaje de máquinas:'
6,respuesta,tarea,María,'“Encontrar un error en un programa, y arreglarlo, hará que el programa funcione correctamente hoy.'
6,respuesta,tarea,Pedro,'Hacer que el programa encuentre el problema y lo arregle, hará que el programa funcione bien siempre”'
6,respuesta,tarea,Juan,'Esto último lo encontre en una página, capaz que esta bueno para entenderlo.'
5,respuesta,tarea,Juan,'Perfecto, está muy buena la info, coincidimos en que se basa en experiencias pasadas para mejorar el desempeño de las tareas futuras.'
4,respuesta,tarea,María,'Si quieren ya podemos ir armando una respuesta en base a lo que averiguamos.'
4,respuesta,tarea,Ramiro,'Entre lo que tenemos vamos haciendo un rejunte y poniendo también con nuestras palabras lo que entendimos.'
4,respuesta,tarea,Juan,'Cuando armemos una respuesta vemos si le falta algo, y si estamos todos de acuerdo.'
4,respuesta,tarea,María,'Fijate que en la info que pusiste vos en tu comentario, pusiste tambien un par de ejemplos, que pueden llegar a servir para la pregunta 2.'
4,respuesta,tarea,Juan,'GENTE CHUSMEN EL DOC QUE DEJAMOS UN MENSAJE PARA JUNTARNOS MAÑANA Y LIQUIDARLO.'
6,respuesta,tarea,Juan,CONFIRMEN.
4,respuesta,tarea,Pedro,'usemo el chat de gmail'
4,respuesta,tarea,Juan,'le vamos poniendo titulos y le sacamos lo que es 1, 2, ...'
6,respuesta,tarea,Liliana123456789012345678901234567890123345,'si, estaba en eso de borral las cosas que no vamos a usar, como las tablas que pusimos para ver a que hora podiamos todos'
8,pregunta,tarea,Ramiro,'Que opinan?'
8,pregunta,tarea,Juan,'si les parece empiezo a escribir la respuesta y a medida que los otros chicos vayan viendo, agregamos / modificamos cosas.'
8,pregunta,tarea,María,'che quieren armarlo mas como un informe?'
11,negativa,socio-emocional,María,'(re ortiva)'
