Nombre del grupo: Copia de MAPEO - T1 - WG03 WG04.arff

Conflicto             Conducta                           Lím. Inf.  Lím. Sup.   Resultado del análisis
Reintegración         C1. Muestra solidaridad                   0%         5%                   11,98%
Reducción de tensión  C2. Muestra relajamiento                  3%        14%                    8,53%
Decisión              C3. Muestra acuerdo o aprueba             6%        20%                   39,20%
Control               C4. Da sugerencia u orientación           4%        11%                    4,54%
Evaluación            C5. Da opiniones                         21%        40%                    5,26%
Comunicación          C6. Da información                       14%        30%                   26,50%
Comunicación          C7. Pide información                      2%        11%                    1,45%
Evaluación            C8. Pide opinión                          1%         9%                    1,63%
Control               C9. Pide sugerencia u orientación         0%         5%                    0,18%
Decisión              C10. Muestra desacuerdo                   3%        13%                    0,54%
Reducción de tensión  C11. Muestra tensión o molestia           1%        10%                    0,18%
Reintegración         C12. Muestra antagonismo                  0%         7%                    0,00%


Nombre del grupo: Copia de MAPEO - T1 WG01 -WG02_.arff

Conflicto             Conducta                           Lím. Inf.  Lím. Sup.   Resultado del análisis
Reintegración         C1. Muestra solidaridad                   0%         5%                    7,01%
Reducción de tensión  C2. Muestra relajamiento                  3%        14%                    3,70%
Decisión              C3. Muestra acuerdo o aprueba             6%        20%                   48,28%
Control               C4. Da sugerencia u orientación           4%        11%                    3,31%
Evaluación            C5. Da opiniones                         21%        40%                    6,75%
Comunicación          C6. Da información                       14%        30%                   28,31%
Comunicación          C7. Pide información                      2%        11%                    0,53%
Evaluación            C8. Pide opinión                          1%         9%                    1,46%
Control               C9. Pide sugerencia u orientación         0%         5%                    0,13%
Decisión              C10. Muestra desacuerdo                   3%        13%                    0,00%
Reducción de tensión  C11. Muestra tensión o molestia           1%        10%                    0,53%
Reintegración         C12. Muestra antagonismo                  0%         7%                    0,00%


Nombre del grupo: Copia de MAPEO - T1 WG05 -WG06_.arff

Conflicto             Conducta                           Lím. Inf.  Lím. Sup.   Resultado del análisis
Reintegración         C1. Muestra solidaridad                   0%         5%                    9,20%
Reducción de tensión  C2. Muestra relajamiento                  3%        14%                    6,13%
Decisión              C3. Muestra acuerdo o aprueba             6%        20%                   45,21%
Control               C4. Da sugerencia u orientación           4%        11%                    6,51%
Evaluación            C5. Da opiniones                         21%        40%                    4,60%
Comunicación          C6. Da información                       14%        30%                   24,90%
Comunicación          C7. Pide información                      2%        11%                    1,15%
Evaluación            C8. Pide opinión                          1%         9%                    1,92%
Control               C9. Pide sugerencia u orientación         0%         5%                    0,00%
Decisión              C10. Muestra desacuerdo                   3%        13%                    0,38%
Reducción de tensión  C11. Muestra tensión o molestia           1%        10%                    0,00%
Reintegración         C12. Muestra antagonismo                  0%         7%                    0,00%


Nombre del grupo: Copia de MAPEO - T1 WG07 -WG08_.arff

Conflicto             Conducta                           Lím. Inf.  Lím. Sup.   Resultado del análisis
Reintegración         C1. Muestra solidaridad                   0%         5%                    9,91%
Reducción de tensión  C2. Muestra relajamiento                  3%        14%                    3,60%
Decisión              C3. Muestra acuerdo o aprueba             6%        20%                   46,98%
Control               C4. Da sugerencia u orientación           4%        11%                    7,08%
Evaluación            C5. Da opiniones                         21%        40%                    6,95%
Comunicación          C6. Da información                       14%        30%                   14,03%
Comunicación          C7. Pide información                      2%        11%                    2,96%
Evaluación            C8. Pide opinión                          1%         9%                    3,09%
Control               C9. Pide sugerencia u orientación         0%         5%                    1,54%
Decisión              C10. Muestra desacuerdo                   3%        13%                    0,26%
Reducción de tensión  C11. Muestra tensión o molestia           1%        10%                    3,35%
Reintegración         C12. Muestra antagonismo                  0%         7%                    0,26%


Nombre del grupo: Copia de MAPEO - T1 WG09 -WG10_.arff

Conflicto             Conducta                           Lím. Inf.  Lím. Sup.   Resultado del análisis
Reintegración         C1. Muestra solidaridad                   0%         5%                   16,18%
Reducción de tensión  C2. Muestra relajamiento                  3%        14%                    4,05%
Decisión              C3. Muestra acuerdo o aprueba             6%        20%                   23,12%
Control               C4. Da sugerencia u orientación           4%        11%                    7,90%
Evaluación            C5. Da opiniones                         21%        40%                    7,32%
Comunicación          C6. Da información                       14%        30%                   27,36%
Comunicación          C7. Pide información                      2%        11%                    4,05%
Evaluación            C8. Pide opinión                          1%         9%                    4,82%
Control               C9. Pide sugerencia u orientación         0%         5%                    0,96%
Decisión              C10. Muestra desacuerdo                   3%        13%                    1,16%
Reducción de tensión  C11. Muestra tensión o molestia           1%        10%                    3,08%
Reintegración         C12. Muestra antagonismo                  0%         7%                    0,00%


Nombre del grupo: Copia de MAPEO - T1 WG11 -WG12_.arff

Conflicto             Conducta                           Lím. Inf.  Lím. Sup.   Resultado del análisis
Reintegración         C1. Muestra solidaridad                   0%         5%                    7,05%
Reducción de tensión  C2. Muestra relajamiento                  3%        14%                    4,99%
Decisión              C3. Muestra acuerdo o aprueba             6%        20%                   18,94%
Control               C4. Da sugerencia u orientación           4%        11%                   13,07%
Evaluación            C5. Da opiniones                         21%        40%                   13,80%
Comunicación          C6. Da información                       14%        30%                   31,72%
Comunicación          C7. Pide información                      2%        11%                    3,08%
Evaluación            C8. Pide opinión                          1%         9%                    2,50%
Control               C9. Pide sugerencia u orientación         0%         5%                    0,15%
Decisión              C10. Muestra desacuerdo                   3%        13%                    1,47%
Reducción de tensión  C11. Muestra tensión o molestia           1%        10%                    3,23%
Reintegración         C12. Muestra antagonismo                  0%         7%                    0,00%


Nombre del grupo: Copia de MAPEO - T1 WG13 -WG14_.arff

Conflicto             Conducta                           Lím. Inf.  Lím. Sup.   Resultado del análisis
Reintegración         C1. Muestra solidaridad                   0%         5%                   11,62%
