Nombre del grupo: UgxxiQFpnNV-fDPIWwZ4AaABAQ.arff

Conflicto             Conducta                           Lím. Inf.  Lím. Sup.   Resultado del análisis
Reintegración         C1. Muestra solidaridad                   0%         5%                    0,00%
Reducción de tensión  C2. Muestra relajamiento                  3%        14%                    0,00%
Decisión              C3. Muestra acuerdo o aprueba             6%        20%                    0,00%
Control               C4. Da sugerencia u orientación           4%        11%                    0,00%
Evaluación            C5. Da opiniones                         21%        40%                    0,00%
Comunicación          C6. Da información                       14%        30%                    0,00%
Comunicación          C7. Pide información                      2%        11%                    0,00%
Evaluación            C8. Pide opinión                          1%         9%                  100,00%
Control               C9. Pide sugerencia u orientación         0%         5%                    0,00%
Decisión              C10. Muestra desacuerdo                   3%        13%                    0,00%
Reducción de tensión  C11. Muestra tensión o molestia           1%        10%                    0,00%
Reintegración         C12. Muestra antagonismo                  0%         7%                    0,00%


Nombre del grupo: UgwwiBGegHPlK0xzccF4AaABAQ.arff

Conflicto             Conducta                           Lím. Inf.  Lím. Sup.   Resultado del análisis
Reintegración         C1. Muestra solidaridad                   0%         5%                    0,00%
Reducción de tensión  C2. Muestra relajamiento                  3%        14%                    0,00%
Decisión              C3. Muestra acuerdo o aprueba             6%        20%                    0,00%
Control               C4. Da sugerencia u orientación           4%        11%                    0,00%
Evaluación            C5. Da opiniones                         21%        40%                    0,00%
Comunicación          C6. Da información                       14%        30%                  100,00%
Comunicación          C7. Pide información                      2%        11%                    0,00%
Evaluación            C8. Pide opinión                          1%         9%                    0,00%
Control               C9. Pide sugerencia u orientación         0%         5%                    0,00%
Decisión              C10. Muestra desacuerdo                   3%        13%                    0,00%
Reducción de tensión  C11. Muestra tensión o molestia           1%        10%                    0,00%
Reintegración         C12. Muestra antagonismo                  0%         7%                    0,00%


Nombre del grupo: Diseño_Grupo_01.arff

Conflicto             Conducta                           Lím. Inf.  Lím. Sup.   Resultado del análisis
Reintegración         C1. Muestra solidaridad                   0%         5%                   14,05%
Reducción de tensión  C2. Muestra relajamiento                  3%        14%                    5,97%
Decisión              C3. Muestra acuerdo o aprueba             6%        20%                   32,30%
Control               C4. Da sugerencia u orientación           4%        11%                    9,77%
Evaluación            C5. Da opiniones                         21%        40%                    7,35%
Comunicación          C6. Da información                       14%        30%                   12,05%
Comunicación          C7. Pide información                      2%        11%                    6,93%
Evaluación            C8. Pide opinión                          1%         9%                    2,99%
Control               C9. Pide sugerencia u orientación         0%         5%                    1,91%
Decisión              C10. Muestra desacuerdo                   3%        13%                    3,45%
Reducción de tensión  C11. Muestra tensión o molestia           1%        10%                    3,23%
Reintegración         C12. Muestra antagonismo                  0%         7%                    0,00%


Nombre del grupo: Diseño_Grupo_08.arff

Conflicto             Conducta                           Lím. Inf.  Lím. Sup.   Resultado del análisis
Reintegración         C1. Muestra solidaridad                   0%         5%                   12,95%
Reducción de tensión  C2. Muestra relajamiento                  3%        14%                    6,33%
Decisión              C3. Muestra acuerdo o aprueba             6%        20%                   22,49%
Control               C4. Da sugerencia u orientación           4%        11%                   12,75%
Evaluación            C5. Da opiniones                         21%        40%                    9,24%
Comunicación          C6. Da información                       14%        30%                   17,67%
Comunicación          C7. Pide información                      2%        11%                    7,03%
Evaluación            C8. Pide opinión                          1%         9%                    3,31%
Control               C9. Pide sugerencia u orientación         0%         5%                    0,80%
Decisión              C10. Muestra desacuerdo                   3%        13%                    4,22%
Reducción de tensión  C11. Muestra tensión o molestia           1%        10%                    3,11%
Reintegración         C12. Muestra antagonismo                  0%         7%                    0,10%


Nombre del grupo: Diseño_ Grupo_06.arff

Conflicto             Conducta                           Lím. Inf.  Lím. Sup.   Resultado del análisis
Reintegración         C1. Muestra solidaridad                   0%         5%                   14,85%
Reducción de tensión  C2. Muestra relajamiento                  3%        14%                    5,25%
Decisión              C3. Muestra acuerdo o aprueba             6%        20%                   23,50%
Control               C4. Da sugerencia u orientación           4%        11%                   12,41%
Evaluación            C5. Da opiniones                         21%        40%                    9,64%
Comunicación          C6. Da información                       14%        30%                   13,98%
Comunicación          C7. Pide información                      2%        11%                    7,07%
Evaluación            C8. Pide opinión                          1%         9%                    4,18%
Control               C9. Pide sugerencia u orientación         0%         5%                    1,99%
Decisión              C10. Muestra desacuerdo                   3%        13%                    3,52%
