Nombre del grupo: UgxxiQFpnNV-fDPIWwZ4AaABAQ.arff

Conflicto             Conducta                           Lím. Inf.  Lím. Sup.   Resultado del análisis
Reintegración         C1. Muestra solidaridad                   0%         5%                    0,00%
Reducción de tensión  C2. Muestra relajamiento                  3%        14%                    0,00%
Decisión              C3. Muestra acuerdo o aprueba             6%        20%                    0,00%
Control               C4. Da sugerencia u orientación           4%        11%                    0,00%
Evaluación            C5. Da opiniones                         21%        40%                    0,00%
Comunicación          C6. Da información                       14%        30%                    0,00%
Comunicación          C7. Pide información                      2%        11%                    0,00%
Evaluación            C8. Pide opinión                          1%         9%                  100,00%
Control               C9. Pide sugerencia u orientación         0%         5%                    0,00%
Decisión              C10. Muestra desacuerdo                   3%        13%                    0,00%
Reducción de tensión  C11. Muestra tensión o molestia           1%        10%                    0,00%
Reintegración         C12. Muestra antagonismo                  0%         7%                    0,00%


Nombre del grupo: Ugx2sVFncwbLn9vMVz14AaABAQ.arff

Conflicto             Conducta                           Lím. Inf.  Lím. Sup.   Resultado del análisis
Reintegración         C1. Muestra solidaridad                   0%         5%                   21,43%
Reducción de tensión  C2. Muestra relajamiento                  3%        14%                    0,00%
Decisión              C3. Muestra acuerdo o aprueba             6%        20%                    0,00%
Control               C4. Da sugerencia u orientación           4%        11%                    7,14%
Evaluación            C5. Da opiniones                         21%        40%                   14,29%
Comunicación          C6. Da información                       14%        30%                   35,71%
Comunicación          C7. Pide información                      2%        11%                    7,14%
Evaluación            C8. Pide opinión                          1%         9%                    7,14%
Control               C9. Pide sugerencia u orientación         0%         5%                    0,00%
Decisión              C10. Muestra desacuerdo                   3%        13%                    0,00%
Reducción de tensión  C11. Muestra tensión o molestia           1%        10%                    7,14%
Reintegración         C12. Muestra antagonismo                  0%         7%                    0,00%


Nombre del grupo: TTC_TP1_G03.arff

Conflicto             Conducta                           Lím. Inf.  Lím. Sup.   Resultado del análisis
Reintegración         C1. Muestra solidaridad                   0%         5%                   19,89%
Reducción de tensión  C2. Muestra relajamiento                  3%        14%                    7,53%
Decisión              C3. Muestra acuerdo o aprueba             6%        20%                   13,62%
Control               C4. Da sugerencia u orientación           4%        11%                   11,15%
Evaluación            C5. Da opiniones                         21%        40%                   12,36%
Comunicación          C6. Da información                       14%        30%                   22,66%
Comunicación          C7. Pide información                      2%        11%                    4,88%
Evaluación            C8. Pide opinión                          1%         9%                    4,76%
Control               C9. Pide sugerencia u orientación         0%         5%                    0,72%
Decisión              C10. Muestra desacuerdo                   3%        13%                    0,72%
Reducción de tensión  C11. Muestra tensión o molestia           1%        10%                    1,69%
Reintegración         C12. Muestra antagonismo                  0%         7%                    0,00%


Nombre del grupo: TTC_TP1_G02.arff

Conflicto             Conducta                           Lím. Inf.  Lím. Sup.   Resultado del análisis
Reintegración         C1. Muestra solidaridad                   0%         5%                   22,66%
Reducción de tensión  C2. Muestra relajamiento                  3%        14%                    6,29%
Decisión              C3. Muestra acuerdo o aprueba             6%        20%                   11,74%
Control               C4. Da sugerencia u orientación           4%        11%                   10,44%
Evaluación            C5. Da opiniones                         21%        40%                    9,85%
Comunicación          C6. Da información                       14%        30%                   27,64%
Comunicación          C7. Pide información                      2%        11%                    4,39%
Evaluación            C8. Pide opinión                          1%         9%                    3,91%
Control               C9. Pide sugerencia u orientación         0%         5%                    0,95%
Decisión              C10. Muestra desacuerdo                   3%        13%                    0,59%
Reducción de tensión  C11. Muestra tensión o molestia           1%        10%                    1,54%
Reintegración         C12. Muestra antagonismo                  0%         7%                    0,00%


Nombre del grupo: TTC_TP1_G08.arff

Conflicto             Conducta                           Lím. Inf.  Lím. Sup.   Resultado del análisis
Reintegración         C1. Muestra solidaridad                   0%         5%                   21,01%
Reducción de tensión  C2. Muestra relajamiento                  3%        14%                    7,00%
Decisión              C3. Muestra acuerdo o aprueba             6%        20%                   14,05%
Control               C4. Da sugerencia u orientación           4%        11%                   11,58%
Evaluación            C5. Da opiniones                         21%        40%                    9,81%
Comunicación          C6. Da información                       14%        30%                   24,06%
Comunicación          C7. Pide información                      2%        11%                    4,41%
Evaluación            C8. Pide opinión                          1%         9%                    5,32%
Control               C9. Pide sugerencia u orientación         0%         5%                    0,58%
Decisión              C10. Muestra desacuerdo                   3%        13%                    0,78%
