Nombre del grupo: UgxxiQFpnNV-fDPIWwZ4AaABAQ.arff

Conflicto             Conducta                           Lím. Inf.  Lím. Sup.   Resultado del análisis
Reintegración         C1. Muestra solidaridad                   0%         5%                    0,00%
Reducción de tensión  C2. Muestra relajamiento                  3%        14%                    0,00%
Decisión              C3. Muestra acuerdo o aprueba             6%        20%                  100,00%
Control               C4. Da sugerencia u orientación           4%        11%                    0,00%
Evaluación            C5. Da opiniones                         21%        40%                    0,00%
Comunicación          C6. Da información                       14%        30%                    0,00%
Comunicación          C7. Pide información                      2%        11%                    0,00%
Evaluación            C8. Pide opinión                          1%         9%                    0,00%
Control               C9. Pide sugerencia u orientación         0%         5%                    0,00%
Decisión              C10. Muestra desacuerdo                   3%        13%                    0,00%
Reducción de tensión  C11. Muestra tensión o molestia           1%        10%                    0,00%
Reintegración         C12. Muestra antagonismo                  0%         7%                    0,00%


Nombre del grupo: Ugx2sVFncwbLn9vMVz14AaABAQ.arff

Conflicto             Conducta                           Lím. Inf.  Lím. Sup.   Resultado del análisis
Reintegración         C1. Muestra solidaridad                   0%         5%                    7,14%
Reducción de tensión  C2. Muestra relajamiento                  3%        14%                    0,00%
Decisión              C3. Muestra acuerdo o aprueba             6%        20%                   35,71%
Control               C4. Da sugerencia u orientación           4%        11%                    0,00%
Evaluación            C5. Da opiniones                         21%        40%                    7,14%
Comunicación          C6. Da información                       14%        30%                   42,86%
Comunicación          C7. Pide información                      2%        11%                    7,14%
Evaluación            C8. Pide opinión                          1%         9%                    0,00%
Control               C9. Pide sugerencia u orientación         0%         5%                    0,00%
Decisión              C10. Muestra desacuerdo                   3%        13%                    0,00%
Reducción de tensión  C11. Muestra tensión o molestia           1%        10%                    0,00%
Reintegración         C12. Muestra antagonismo                  0%         7%                    0,00%


Nombre del grupo: TTC_TP1_G03.arff

Conflicto             Conducta                           Lím. Inf.  Lím. Sup.   Resultado del análisis
Reintegración         C1. Muestra solidaridad                   0%         5%                   10,85%
Reducción de tensión  C2. Muestra relajamiento                  3%        14%                    6,27%
Decisión              C3. Muestra acuerdo o aprueba             6%        20%                   34,00%
Control               C4. Da sugerencia u orientación           4%        11%                    5,36%
Evaluación            C5. Da opiniones                         21%        40%                    7,72%
Comunicación          C6. Da información                       14%        30%                   32,79%
Comunicación          C7. Pide información                      2%        11%                    0,48%
Evaluación            C8. Pide opinión                          1%         9%                    1,99%
Control               C9. Pide sugerencia u orientación         0%         5%                    0,00%
Decisión              C10. Muestra desacuerdo                   3%        13%                    0,30%
Reducción de tensión  C11. Muestra tensión o molestia           1%        10%                    0,24%
Reintegración         C12. Muestra antagonismo                  0%         7%                    0,00%


Nombre del grupo: TTC_TP1_G02.arff

Conflicto             Conducta                           Lím. Inf.  Lím. Sup.   Resultado del análisis
Reintegración         C1. Muestra solidaridad                   0%         5%                   11,98%
Reducción de tensión  C2. Muestra relajamiento                  3%        14%                    4,45%
Decisión              C3. Muestra acuerdo o aprueba             6%        20%                   37,07%
Control               C4. Da sugerencia u orientación           4%        11%                    3,02%
Evaluación            C5. Da opiniones                         21%        40%                    4,98%
Comunicación          C6. Da información                       14%        30%                   35,05%
Comunicación          C7. Pide información                      2%        11%                    1,19%
Evaluación            C8. Pide opinión                          1%         9%                    1,13%
Control               C9. Pide sugerencia u orientación         0%         5%                    0,12%
Decisión              C10. Muestra desacuerdo                   3%        13%                    0,42%
Reducción de tensión  C11. Muestra tensión o molestia           1%        10%                    0,59%
Reintegración         C12. Muestra antagonismo                  0%         7%                    0,00%


Nombre del grupo: TTC_TP1_G08.arff

Conflicto             Conducta                           Lím. Inf.  Lím. Sup.   Resultado del análisis
Reintegración         C1. Muestra solidaridad                   0%         5%                   11,00%
Reducción de tensión  C2. Muestra relajamiento                  3%        14%                    6,10%
Decisión              C3. Muestra acuerdo o aprueba             6%        20%                   37,33%
Control               C4. Da sugerencia u orientación           4%        11%                    5,11%
Evaluación            C5. Da opiniones                         21%        40%                    5,03%
Comunicación          C6. Da información                       14%        30%                   31,23%
Comunicación          C7. Pide información                      2%        11%                    1,11%
Evaluación            C8. Pide opinión                          1%         9%                    2,35%
Control               C9. Pide sugerencia u orientación         0%         5%                    0,12%
Decisión              C10. Muestra desacuerdo                   3%        13%                    0,41%
