Nombre del grupo: PE16_TP5_G05.arff

Conflicto             Conducta                           Lím. Inf.  Lím. Sup.   Resultado del análisis
Reintegración         C1. Muestra solidaridad                   0%         5%                   15,20%
Reducción de tensión  C2. Muestra relajamiento                  3%        14%                   15,20%
Decisión              C3. Muestra acuerdo o aprueba             6%        20%                   14,94%
Control               C4. Da sugerencia u orientación           4%        11%                   10,09%
Evaluación            C5. Da opiniones                         21%        40%                   11,53%
Comunicación          C6. Da información                       14%        30%                   19,13%
Comunicación          C7. Pide información                      2%        11%                    3,54%
Evaluación            C8. Pide opinión                          1%         9%                    6,03%
Control               C9. Pide sugerencia u orientación         0%         5%                    1,05%
Decisión              C10. Muestra desacuerdo                   3%        13%                    0,92%
Reducción de tensión  C11. Muestra tensión o molestia           1%        10%                    2,36%
Reintegración         C12. Muestra antagonismo                  0%         7%                    0,00%


Nombre del grupo: PE16_TP4_G02.arff

Conflicto             Conducta                           Lím. Inf.  Lím. Sup.   Resultado del análisis
Reintegración         C1. Muestra solidaridad                   0%         5%                   20,33%
Reducción de tensión  C2. Muestra relajamiento                  3%        14%                    5,68%
Decisión              C3. Muestra acuerdo o aprueba             6%        20%                   12,27%
Control               C4. Da sugerencia u orientación           4%        11%                    9,89%
Evaluación            C5. Da opiniones                         21%        40%                   15,57%
Comunicación          C6. Da información                       14%        30%                   23,63%
Comunicación          C7. Pide información                      2%        11%                    2,93%
Evaluación            C8. Pide opinión                          1%         9%                    5,86%
Control               C9. Pide sugerencia u orientación         0%         5%                    1,10%
Decisión              C10. Muestra desacuerdo                   3%        13%                    0,55%
Reducción de tensión  C11. Muestra tensión o molestia           1%        10%                    2,20%
Reintegración         C12. Muestra antagonismo                  0%         7%                    0,00%


Nombre del grupo: PE16_TP4_G11.arff

Conflicto             Conducta                           Lím. Inf.  Lím. Sup.   Resultado del análisis
Reintegración         C1. Muestra solidaridad                   0%         5%                   17,48%
Reducción de tensión  C2. Muestra relajamiento                  3%        14%                    7,69%
Decisión              C3. Muestra acuerdo o aprueba             6%        20%                   14,51%
Control               C4. Da sugerencia u orientación           4%        11%                   11,19%
Evaluación            C5. Da opiniones                         21%        40%                   12,41%
Comunicación          C6. Da información                       14%        30%                   22,55%
Comunicación          C7. Pide información                      2%        11%                    5,07%
Evaluación            C8. Pide opinión                          1%         9%                    5,24%
Control               C9. Pide sugerencia u orientación         0%         5%                    0,52%
Decisión              C10. Muestra desacuerdo                   3%        13%                    1,05%
Reducción de tensión  C11. Muestra tensión o molestia           1%        10%                    2,27%
Reintegración         C12. Muestra antagonismo                  0%         7%                    0,00%


Nombre del grupo: PE16_TP4_G03.arff

Conflicto             Conducta                           Lím. Inf.  Lím. Sup.   Resultado del análisis
Reintegración         C1. Muestra solidaridad                   0%         5%                   14,82%
Reducción de tensión  C2. Muestra relajamiento                  3%        14%                    6,03%
Decisión              C3. Muestra acuerdo o aprueba             6%        20%                   14,32%
Control               C4. Da sugerencia u orientación           4%        11%                   11,31%
Evaluación            C5. Da opiniones                         21%        40%                    9,05%
Comunicación          C6. Da información                       14%        30%                   28,14%
Comunicación          C7. Pide información                      2%        11%                    4,27%
Evaluación            C8. Pide opinión                          1%         9%                    6,03%
Control               C9. Pide sugerencia u orientación         0%         5%                    1,26%
Decisión              C10. Muestra desacuerdo                   3%        13%                    1,01%
Reducción de tensión  C11. Muestra tensión o molestia           1%        10%                    3,77%
Reintegración         C12. Muestra antagonismo                  0%         7%                    0,00%


Nombre del grupo: PE16_TP5_G10.arff

Conflicto             Conducta                           Lím. Inf.  Lím. Sup.   Resultado del análisis
Reintegración         C1. Muestra solidaridad                   0%         5%                   15,69%
Reducción de tensión  C2. Muestra relajamiento                  3%        14%                    4,31%
Decisión              C3. Muestra acuerdo o aprueba             6%        20%                   14,77%
Control               C4. Da sugerencia u orientación           4%        11%                    9,23%
Evaluación            C5. Da opiniones                         21%        40%                   13,85%
Comunicación          C6. Da información                       14%        30%                   29,85%
Comunicación          C7. Pide información                      2%        11%                    4,31%
Evaluación            C8. Pide opinión                          1%         9%                    6,77%
Control               C9. Pide sugerencia u orientación         0%         5%                    0,62%
Decisión              C10. Muestra desacuerdo                   3%        13%                    0,00%
Reducción de tensión  C11. Muestra tensión o molestia           1%        10%                    0,62%
Reintegración         C12. Muestra antagonismo                  0%         7%                    0,00%


Nombre del grupo: PE16_TP5_G04.arff

Conflicto             Conducta                           Lím. Inf.  Lím. Sup.   Resultado del análisis
Reintegración         C1. Muestra solidaridad                   0%         5%                   17,20%
Reducción de tensión  C2. Muestra relajamiento                  3%        14%                    4,00%
Decisión              C3. Muestra acuerdo o aprueba             6%        20%                   12,80%
Control               C4. Da sugerencia u orientación           4%        11%                    9,60%
Evaluación            C5. Da opiniones                         21%        40%                   13,20%
Comunicación          C6. Da información                       14%        30%                   29,60%
Comunicación          C7. Pide información                      2%        11%                    3,60%
Evaluación            C8. Pide opinión                          1%         9%                    6,80%
Control               C9. Pide sugerencia u orientación         0%         5%                    2,40%
Decisión              C10. Muestra desacuerdo                   3%        13%                    0,00%
Reducción de tensión  C11. Muestra tensión o molestia           1%        10%                    0,80%
Reintegración         C12. Muestra antagonismo                  0%         7%                    0,00%


Nombre del grupo: PE16_TP4_G05.arff

Conflicto             Conducta                           Lím. Inf.  Lím. Sup.   Resultado del análisis
Reintegración         C1. Muestra solidaridad                   0%         5%                   15,46%
Reducción de tensión  C2. Muestra relajamiento                  3%        14%                    4,12%
Decisión              C3. Muestra acuerdo o aprueba             6%        20%                   11,00%
Control               C4. Da sugerencia u orientación           4%        11%                   12,71%
Evaluación            C5. Da opiniones                         21%        40%                   13,06%
Comunicación          C6. Da información                       14%        30%                   27,49%
Comunicación          C7. Pide información                      2%        11%                    6,19%
Evaluación            C8. Pide opinión                          1%         9%                    4,81%
Control               C9. Pide sugerencia u orientación         0%         5%                    0,69%
Decisión              C10. Muestra desacuerdo                   3%        13%                    0,69%
Reducción de tensión  C11. Muestra tensión o molestia           1%        10%                    3,78%
Reintegración         C12. Muestra antagonismo                  0%         7%                    0,00%


Nombre del grupo: PE16_TP5_G01.arff

Conflicto             Conducta                           Lím. Inf.  Lím. Sup.   Resultado del análisis
Reintegración         C1. Muestra solidaridad                   0%         5%                   15,31%
Reducción de tensión  C2. Muestra relajamiento                  3%        14%                    8,15%
Decisión              C3. Muestra acuerdo o aprueba             6%        20%                   11,73%
Control               C4. Da sugerencia u orientación           4%        11%                   10,74%
Evaluación            C5. Da opiniones                         21%        40%                   11,53%
Comunicación          C6. Da información                       14%        30%                   28,23%
Comunicación          C7. Pide información                      2%        11%                    4,17%
Evaluación            C8. Pide opinión                          1%         9%                    6,76%
Control               C9. Pide sugerencia u orientación         0%         5%                    0,99%
Decisión              C10. Muestra desacuerdo                   3%        13%                    0,99%
Reducción de tensión  C11. Muestra tensión o molestia           1%        10%                    1,39%
Reintegración         C12. Muestra antagonismo                  0%         7%                    0,00%


Nombre del grupo: PE16_TP4_G01.arff

Conflicto             Conducta                           Lím. Inf.  Lím. Sup.   Resultado del análisis
Reintegración         C1. Muestra solidaridad                   0%         5%                   14,63%
Reducción de tensión  C2. Muestra relajamiento                  3%        14%                    9,14%
Decisión              C3. Muestra acuerdo o aprueba             6%        20%                   15,36%
Control               C4. Da sugerencia u orientación           4%        11%                    8,96%
Evaluación            C5. Da opiniones                         21%        40%                   11,52%
Comunicación          C6. Da información                       14%        30%                   24,13%
Comunicación          C7. Pide información                      2%        11%                    6,40%
Evaluación            C8. Pide opinión                          1%         9%                    6,76%
Control               C9. Pide sugerencia u orientación         0%         5%                    0,37%
Decisión              C10. Muestra desacuerdo                   3%        13%                    0,55%
Reducción de tensión  C11. Muestra tensión o molestia           1%        10%                    2,19%
Reintegración         C12. Muestra antagonismo                  0%         7%                    0,00%


Nombre del grupo: PE16_TP4_G09.arff

Conflicto             Conducta                           Lím. Inf.  Lím. Sup.   Resultado del análisis
Reintegración         C1. Muestra solidaridad                   0%         5%                   18,34%
Reducción de tensión  C2. Muestra relajamiento                  3%        14%                    5,33%
Decisión              C3. Muestra acuerdo o aprueba             6%        20%                   14,20%
Control               C4. Da sugerencia u orientación           4%        11%                   11,83%
Evaluación            C5. Da opiniones                         21%        40%                   11,83%
Comunicación          C6. Da información                       14%        30%                   28,11%
Comunicación          C7. Pide información                      2%        11%                    3,85%
Evaluación            C8. Pide opinión                          1%         9%                    3,25%
Control               C9. Pide sugerencia u orientación         0%         5%                    1,78%
