Nombre del grupo: UgxxiQFpnNV-fDPIWwZ4AaABAQ.arff

Conflicto             Conducta                           Lím. Inf.  Lím. Sup.   Resultado del análisis
Reintegración         C1. Muestra solidaridad                   0%         5%                    0,00%
Reducción de tensión  C2. Muestra relajamiento                  3%        14%                    0,00%
Decisión              C3. Muestra acuerdo o aprueba             6%        20%                    0,00%
Control               C4. Da sugerencia u orientación           4%        11%                    0,00%
Evaluación            C5. Da opiniones                         21%        40%                    0,00%
Comunicación          C6. Da información                       14%        30%                    0,00%
Comunicación          C7. Pide información                      2%        11%                    0,00%
Evaluación            C8. Pide opinión                          1%         9%                  100,00%
Control               C9. Pide sugerencia u orientación         0%         5%                    0,00%
Decisión              C10. Muestra desacuerdo                   3%        13%                    0,00%
Reducción de tensión  C11. Muestra tensión o molestia           1%        10%                    0,00%
Reintegración         C12. Muestra antagonismo                  0%         7%                    0,00%


Nombre del grupo: Ugx2sVFncwbLn9vMVz14AaABAQ.arff

Conflicto             Conducta                           Lím. Inf.  Lím. Sup.   Resultado del análisis
Reintegración         C1. Muestra solidaridad                   0%         5%                   14,29%
Reducción de tensión  C2. Muestra relajamiento                  3%        14%                    0,00%
Decisión              C3. Muestra acuerdo o aprueba             6%        20%                   21,43%
Control               C4. Da sugerencia u orientación           4%        11%                    0,00%
Evaluación            C5. Da opiniones                         21%        40%                    0,00%
Comunicación          C6. Da información                       14%        30%                   35,71%
Comunicación          C7. Pide información                      2%        11%                   21,43%
Evaluación            C8. Pide opinión                          1%         9%                    7,14%
Control               C9. Pide sugerencia u orientación         0%         5%                    0,00%
Decisión              C10. Muestra desacuerdo                   3%        13%                    0,00%
Reducción de tensión  C11. Muestra tensión o molestia           1%        10%                    0,00%
Reintegración         C12. Muestra antagonismo                  0%         7%                    0,00%


Nombre del grupo: TTC_TP1_G03.arff

Conflicto             Conducta                           Lím. Inf.  Lím. Sup.   Resultado del análisis
Reintegración         C1. Muestra solidaridad                   0%         5%                   21,28%
Reducción de tensión  C2. Muestra relajamiento                  3%        14%                    6,21%
Decisión              C3. Muestra acuerdo o aprueba             6%        20%                   29,42%
Control               C4. Da sugerencia u orientación           4%        11%                    2,11%
Evaluación            C5. Da opiniones                         21%        40%                    3,98%
Comunicación          C6. Da información                       14%        30%                   24,29%
Comunicación          C7. Pide información                      2%        11%                    8,02%
Evaluación            C8. Pide opinión                          1%         9%                    4,10%
Control               C9. Pide sugerencia u orientación         0%         5%                    0,00%
Decisión              C10. Muestra desacuerdo                   3%        13%                    0,48%
Reducción de tensión  C11. Muestra tensión o molestia           1%        10%                    0,12%
Reintegración         C12. Muestra antagonismo                  0%         7%                    0,00%


Nombre del grupo: TTC_TP1_G02.arff

Conflicto             Conducta                           Lím. Inf.  Lím. Sup.   Resultado del análisis
Reintegración         C1. Muestra solidaridad                   0%         5%                   21,41%
Reducción de tensión  C2. Muestra relajamiento                  3%        14%                    4,27%
Decisión              C3. Muestra acuerdo o aprueba             6%        20%                   24,50%
Control               C4. Da sugerencia u orientación           4%        11%                    2,08%
Evaluación            C5. Da opiniones                         21%        40%                    3,08%
Comunicación          C6. Da información                       14%        30%                   27,64%
Comunicación          C7. Pide información                      2%        11%                   11,92%
Evaluación            C8. Pide opinión                          1%         9%                    3,91%
Control               C9. Pide sugerencia u orientación         0%         5%                    0,00%
Decisión              C10. Muestra desacuerdo                   3%        13%                    0,47%
Reducción de tensión  C11. Muestra tensión o molestia           1%        10%                    0,71%
Reintegración         C12. Muestra antagonismo                  0%         7%                    0,00%


Nombre del grupo: TTC_TP1_G08.arff

Conflicto             Conducta                           Lím. Inf.  Lím. Sup.   Resultado del análisis
Reintegración         C1. Muestra solidaridad                   0%         5%                   20,68%
Reducción de tensión  C2. Muestra relajamiento                  3%        14%                    5,69%
Decisión              C3. Muestra acuerdo o aprueba             6%        20%                   27,24%
Control               C4. Da sugerencia u orientación           4%        11%                    2,43%
Evaluación            C5. Da opiniones                         21%        40%                    3,38%
Comunicación          C6. Da información                       14%        30%                   26,25%
Comunicación          C7. Pide información                      2%        11%                    8,78%
Evaluación            C8. Pide opinión                          1%         9%                    4,70%
Control               C9. Pide sugerencia u orientación         0%         5%                    0,00%
Decisión              C10. Muestra desacuerdo                   3%        13%                    0,62%
