Nombre del grupo: PE16_TP5_G05.arff

Conflicto             Conducta                           Lím. Inf.  Lím. Sup.   Resultado del análisis
Reintegración         C1. Muestra solidaridad                   0%         5%                   12,32%
Reducción de tensión  C2. Muestra relajamiento                  3%        14%                   14,55%
Decisión              C3. Muestra acuerdo o aprueba             6%        20%                   28,83%
Control               C4. Da sugerencia u orientación           4%        11%                    9,83%
Evaluación            C5. Da opiniones                         21%        40%                    6,16%
Comunicación          C6. Da información                       14%        30%                   11,01%
Comunicación          C7. Pide información                      2%        11%                    5,11%
Evaluación            C8. Pide opinión                          1%         9%                    5,11%
Control               C9. Pide sugerencia u orientación         0%         5%                    1,83%
Decisión              C10. Muestra desacuerdo                   3%        13%                    2,62%
Reducción de tensión  C11. Muestra tensión o molestia           1%        10%                    2,62%
Reintegración         C12. Muestra antagonismo                  0%         7%                    0,00%


Nombre del grupo: PE16_TP4_G02.arff

Conflicto             Conducta                           Lím. Inf.  Lím. Sup.   Resultado del análisis
Reintegración         C1. Muestra solidaridad                   0%         5%                   11,17%
Reducción de tensión  C2. Muestra relajamiento                  3%        14%                    6,59%
Decisión              C3. Muestra acuerdo o aprueba             6%        20%                   36,63%
Control               C4. Da sugerencia u orientación           4%        11%                    9,89%
Evaluación            C5. Da opiniones                         21%        40%                    7,51%
Comunicación          C6. Da información                       14%        30%                   15,38%
Comunicación          C7. Pide información                      2%        11%                    2,93%
Evaluación            C8. Pide opinión                          1%         9%                    4,58%
Control               C9. Pide sugerencia u orientación         0%         5%                    2,20%
Decisión              C10. Muestra desacuerdo                   3%        13%                    1,28%
Reducción de tensión  C11. Muestra tensión o molestia           1%        10%                    1,83%
Reintegración         C12. Muestra antagonismo                  0%         7%                    0,00%


Nombre del grupo: PE16_TP4_G11.arff

Conflicto             Conducta                           Lím. Inf.  Lím. Sup.   Resultado del análisis
Reintegración         C1. Muestra solidaridad                   0%         5%                   14,86%
Reducción de tensión  C2. Muestra relajamiento                  3%        14%                    8,39%
