Nombre del grupo: UgxxiQFpnNV-fDPIWwZ4AaABAQ.arff

Conflicto             Conducta                           Lím. Inf.  Lím. Sup.   Resultado del análisis
Reintegración         C1. Muestra solidaridad                   0%         5%                    0,00%
Reducción de tensión  C2. Muestra relajamiento                  3%        14%                    0,00%
Decisión              C3. Muestra acuerdo o aprueba             6%        20%                    0,00%
Control               C4. Da sugerencia u orientación           4%        11%                    0,00%
Evaluación            C5. Da opiniones                         21%        40%                    0,00%
Comunicación          C6. Da información                       14%        30%                    0,00%
Comunicación          C7. Pide información                      2%        11%                    0,00%
Evaluación            C8. Pide opinión                          1%         9%                  100,00%
Control               C9. Pide sugerencia u orientación         0%         5%                    0,00%
Decisión              C10. Muestra desacuerdo                   3%        13%                    0,00%
Reducción de tensión  C11. Muestra tensión o molestia           1%        10%                    0,00%
Reintegración         C12. Muestra antagonismo                  0%         7%                    0,00%


Nombre del grupo: UgwwiBGegHPlK0xzccF4AaABAQ.arff

Conflicto             Conducta                           Lím. Inf.  Lím. Sup.   Resultado del análisis
Reintegración         C1. Muestra solidaridad                   0%         5%                    0,00%
Reducción de tensión  C2. Muestra relajamiento                  3%        14%                    0,00%
Decisión              C3. Muestra acuerdo o aprueba             6%        20%                    0,00%
Control               C4. Da sugerencia u orientación           4%        11%                    0,00%
Evaluación            C5. Da opiniones                         21%        40%                    0,00%
Comunicación          C6. Da información                       14%        30%                  100,00%
Comunicación          C7. Pide información                      2%        11%                    0,00%
Evaluación            C8. Pide opinión                          1%         9%                    0,00%
Control               C9. Pide sugerencia u orientación         0%         5%                    0,00%
Decisión              C10. Muestra desacuerdo                   3%        13%                    0,00%
Reducción de tensión  C11. Muestra tensión o molestia           1%        10%                    0,00%
Reintegración         C12. Muestra antagonismo                  0%         7%                    0,00%


Nombre del grupo: UgwXD9OpVvCcr2eP3nh4AaABAQ.arff

Conflicto             Conducta                           Lím. Inf.  Lím. Sup.   Resultado del análisis
Reintegración         C1. Muestra solidaridad                   0%         5%                   19,27%
Reducción de tensión  C2. Muestra relajamiento                  3%        14%                    4,21%
Decisión              C3. Muestra acuerdo o aprueba             6%        20%                   29,16%
Control               C4. Da sugerencia u orientación           4%        11%                    1,57%
Evaluación            C5. Da opiniones                         21%        40%                    3,55%
Comunicación          C6. Da información                       14%        30%                   26,93%
Comunicación          C7. Pide información                      2%        11%                    9,50%
Evaluación            C8. Pide opinión                          1%         9%                    3,67%
Control               C9. Pide sugerencia u orientación         0%         5%                    0,00%
Decisión              C10. Muestra desacuerdo                   3%        13%                    1,57%
Reducción de tensión  C11. Muestra tensión o molestia           1%        10%                    0,56%
Reintegración         C12. Muestra antagonismo                  0%         7%                    0,00%


Nombre del grupo: UgziTcZDVcOov-1IRPl4AaABAQ.arff

Conflicto             Conducta                           Lím. Inf.  Lím. Sup.   Resultado del análisis
Reintegración         C1. Muestra solidaridad                   0%         5%                   20,38%
Reducción de tensión  C2. Muestra relajamiento                  3%        14%                    3,92%
Decisión              C3. Muestra acuerdo o aprueba             6%        20%                   18,07%
Control               C4. Da sugerencia u orientación           4%        11%                    2,71%
Evaluación            C5. Da opiniones                         21%        40%                    3,51%
Comunicación          C6. Da información                       14%        30%                   30,42%
Comunicación          C7. Pide información                      2%        11%                   12,45%
Evaluación            C8. Pide opinión                          1%         9%                    6,43%
Control               C9. Pide sugerencia u orientación         0%         5%                    0,20%
Decisión              C10. Muestra desacuerdo                   3%        13%                    0,80%
Reducción de tensión  C11. Muestra tensión o molestia           1%        10%                    1,10%
Reintegración         C12. Muestra antagonismo                  0%         7%                    0,00%


Nombre del grupo: UgyEf3a_dBhg7QzqB0x4AaABAQ.arff

Conflicto             Conducta                           Lím. Inf.  Lím. Sup.   Resultado del análisis
Reintegración         C1. Muestra solidaridad                   0%         5%                   20,40%
Reducción de tensión  C2. Muestra relajamiento                  3%        14%                    5,42%
Decisión              C3. Muestra acuerdo o aprueba             6%        20%                   22,30%
Control               C4. Da sugerencia u orientación           4%        11%                    2,57%
Evaluación            C5. Da opiniones                         21%        40%                    5,83%
Comunicación          C6. Da información                       14%        30%                   28,09%
Comunicación          C7. Pide información                      2%        11%                    8,65%
Evaluación            C8. Pide opinión                          1%         9%                    4,47%
