Nombre del grupo: Copia de MAPEO - T1 - WG03 WG04 (T1_WG03).arff

Conflicto             Conducta                           Lím. Inf.  Lím. Sup.   Resultado del análisis
Reintegración         C1. Muestra solidaridad                   0%         5%                   13,33%
Reducción de tensión  C2. Muestra relajamiento                  3%        14%                    0,74%
Decisión              C3. Muestra acuerdo o aprueba             6%        20%                   44,44%
Control               C4. Da sugerencia u orientación           4%        11%                    3,70%
Evaluación            C5. Da opiniones                         21%        40%                    5,19%
Comunicación          C6. Da información                       14%        30%                   29,63%
Comunicación          C7. Pide información                      2%        11%                    1,11%
Evaluación            C8. Pide opinión                          1%         9%                    1,48%
Control               C9. Pide sugerencia u orientación         0%         5%                    0,00%
Decisión              C10. Muestra desacuerdo                   3%        13%                    0,37%
Reducción de tensión  C11. Muestra tensión o molestia           1%        10%                    0,00%
Reintegración         C12. Muestra antagonismo                  0%         7%                    0,00%


Nombre del grupo: Copia de MAPEO - T1 - WG03 WG04 (T1_WG04).arff

Conflicto             Conducta                           Lím. Inf.  Lím. Sup.   Resultado del análisis
Reintegración         C1. Muestra solidaridad                   0%         5%                   10,68%
Reducción de tensión  C2. Muestra relajamiento                  3%        14%                   16,01%
Decisión              C3. Muestra acuerdo o aprueba             6%        20%                   34,16%
Control               C4. Da sugerencia u orientación           4%        11%                    5,34%
Evaluación            C5. Da opiniones                         21%        40%                    5,34%
Comunicación          C6. Da información                       14%        30%                   23,49%
Comunicación          C7. Pide información                      2%        11%                    1,78%
Evaluación            C8. Pide opinión                          1%         9%                    1,78%
Control               C9. Pide sugerencia u orientación         0%         5%                    0,36%
Decisión              C10. Muestra desacuerdo                   3%        13%                    0,71%
Reducción de tensión  C11. Muestra tensión o molestia           1%        10%                    0,36%
Reintegración         C12. Muestra antagonismo                  0%         7%                    0,00%


Nombre del grupo: Copia de MAPEO - T1 WG01 -WG02_ (T1_WG01).arff

Conflicto             Conducta                           Lím. Inf.  Lím. Sup.   Resultado del análisis
Reintegración         C1. Muestra solidaridad                   0%         5%                    7,02%
Reducción de tensión  C2. Muestra relajamiento                  3%        14%                    1,75%
Decisión              C3. Muestra acuerdo o aprueba             6%        20%                   26,32%
Control               C4. Da sugerencia u orientación           4%        11%                    3,51%
Evaluación            C5. Da opiniones                         21%        40%                   12,28%
Comunicación          C6. Da información                       14%        30%                   43,86%
Comunicación          C7. Pide información                      2%        11%                    1,75%
Evaluación            C8. Pide opinión                          1%         9%                    1,75%
Control               C9. Pide sugerencia u orientación         0%         5%                    1,75%
Decisión              C10. Muestra desacuerdo                   3%        13%                    0,00%
Reducción de tensión  C11. Muestra tensión o molestia           1%        10%                    0,00%
Reintegración         C12. Muestra antagonismo                  0%         7%                    0,00%


Nombre del grupo: Copia de MAPEO - T1 WG01 -WG02_ (T1_WG02).arff

Conflicto             Conducta                           Lím. Inf.  Lím. Sup.   Resultado del análisis
Reintegración         C1. Muestra solidaridad                   0%         5%                    7,01%
Reducción de tensión  C2. Muestra relajamiento                  3%        14%                    3,86%
Decisión              C3. Muestra acuerdo o aprueba             6%        20%                   50,07%
Control               C4. Da sugerencia u orientación           4%        11%                    3,29%
Evaluación            C5. Da opiniones                         21%        40%                    6,29%
Comunicación          C6. Da información                       14%        30%                   27,04%
Comunicación          C7. Pide información                      2%        11%                    0,43%
Evaluación            C8. Pide opinión                          1%         9%                    1,43%
Control               C9. Pide sugerencia u orientación         0%         5%                    0,00%
Decisión              C10. Muestra desacuerdo                   3%        13%                    0,00%
Reducción de tensión  C11. Muestra tensión o molestia           1%        10%                    0,57%
Reintegración         C12. Muestra antagonismo                  0%         7%                    0,00%


Nombre del grupo: Copia de MAPEO - T1 WG05 -WG06_ (T1 WG05).arff

Conflicto             Conducta                           Lím. Inf.  Lím. Sup.   Resultado del análisis
Reintegración         C1. Muestra solidaridad                   0%         5%                    7,94%
Reducción de tensión  C2. Muestra relajamiento                  3%        14%                    9,52%
Decisión              C3. Muestra acuerdo o aprueba             6%        20%                   38,10%
Control               C4. Da sugerencia u orientación           4%        11%                    3,17%
Evaluación            C5. Da opiniones                         21%        40%                    4,76%
Comunicación          C6. Da información                       14%        30%                   34,92%
Comunicación          C7. Pide información                      2%        11%                    1,59%
Evaluación            C8. Pide opinión                          1%         9%                    0,00%
Control               C9. Pide sugerencia u orientación         0%         5%                    0,00%
Decisión              C10. Muestra desacuerdo                   3%        13%                    0,00%
Reducción de tensión  C11. Muestra tensión o molestia           1%        10%                    0,00%
Reintegración         C12. Muestra antagonismo                  0%         7%                    0,00%


Nombre del grupo: Copia de MAPEO - T1 WG05 -WG06_ (T1 WG06).arff

Conflicto             Conducta                           Lím. Inf.  Lím. Sup.   Resultado del análisis
Reintegración         C1. Muestra solidaridad                   0%         5%                    9,60%
Reducción de tensión  C2. Muestra relajamiento                  3%        14%                    5,05%
Decisión              C3. Muestra acuerdo o aprueba             6%        20%                   47,47%
Control               C4. Da sugerencia u orientación           4%        11%                    7,58%
Evaluación            C5. Da opiniones                         21%        40%                    4,55%
Comunicación          C6. Da información                       14%        30%                   21,72%
Comunicación          C7. Pide información                      2%        11%                    1,01%
Evaluación            C8. Pide opinión                          1%         9%                    2,53%
Control               C9. Pide sugerencia u orientación         0%         5%                    0,00%
Decisión              C10. Muestra desacuerdo                   3%        13%                    0,51%
Reducción de tensión  C11. Muestra tensión o molestia           1%        10%                    0,00%
Reintegración         C12. Muestra antagonismo                  0%         7%                    0,00%


Nombre del grupo: Copia de MAPEO - T1 WG07 -WG08_ (T1 WG07).arff

Conflicto             Conducta                           Lím. Inf.  Lím. Sup.   Resultado del análisis
Reintegración         C1. Muestra solidaridad                   0%         5%                   14,29%
Reducción de tensión  C2. Muestra relajamiento                  3%        14%                    0,00%
Decisión              C3. Muestra acuerdo o aprueba             6%        20%                   37,14%
Control               C4. Da sugerencia u orientación           4%        11%                   10,00%
Evaluación            C5. Da opiniones                         21%        40%                    9,29%
Comunicación          C6. Da información                       14%        30%                   16,43%
Comunicación          C7. Pide información                      2%        11%                    3,57%
Evaluación            C8. Pide opinión                          1%         9%                    5,00%
Control               C9. Pide sugerencia u orientación         0%         5%                    0,71%
Decisión              C10. Muestra desacuerdo                   3%        13%                    0,00%
Reducción de tensión  C11. Muestra tensión o molestia           1%        10%                    3,57%
Reintegración         C12. Muestra antagonismo                  0%         7%                    0,00%


Nombre del grupo: Copia de MAPEO - T1 WG07 -WG08_ (T1 WG08).arff

Conflicto             Conducta                           Lím. Inf.  Lím. Sup.   Resultado del análisis
Reintegración         C1. Muestra solidaridad                   0%         5%                    8,95%
Reducción de tensión  C2. Muestra relajamiento                  3%        14%                    4,40%
Decisión              C3. Muestra acuerdo o aprueba             6%        20%                   49,14%
Control               C4. Da sugerencia u orientación           4%        11%                    6,44%
Evaluación            C5. Da opiniones                         21%        40%                    6,44%
Comunicación          C6. Da información                       14%        30%                   13,50%
Comunicación          C7. Pide información                      2%        11%                    2,83%
Evaluación            C8. Pide opinión                          1%         9%                    2,67%
Control               C9. Pide sugerencia u orientación         0%         5%                    1,73%
Decisión              C10. Muestra desacuerdo                   3%        13%                    0,31%
Reducción de tensión  C11. Muestra tensión o molestia           1%        10%                    3,30%
Reintegración         C12. Muestra antagonismo                  0%         7%                    0,31%


Nombre del grupo: Copia de MAPEO - T1 WG09 -WG10_ (T1_ WG09).arff

Conflicto             Conducta                           Lím. Inf.  Lím. Sup.   Resultado del análisis
Reintegración         C1. Muestra solidaridad                   0%         5%                   14,81%
Reducción de tensión  C2. Muestra relajamiento                  3%        14%                    0,00%
Decisión              C3. Muestra acuerdo o aprueba             6%        20%                   37,04%
Control               C4. Da sugerencia u orientación           4%        11%                   14,81%
Evaluación            C5. Da opiniones                         21%        40%                    0,00%
Comunicación          C6. Da información                       14%        30%                   14,81%
Comunicación          C7. Pide información                      2%        11%                    0,00%
Evaluación            C8. Pide opinión                          1%         9%                   14,81%
Control               C9. Pide sugerencia u orientación         0%         5%                    0,00%
Decisión              C10. Muestra desacuerdo                   3%        13%                    3,70%
Reducción de tensión  C11. Muestra tensión o molestia           1%        10%                    0,00%
Reintegración         C12. Muestra antagonismo                  0%         7%                    0,00%


Nombre del grupo: Copia de MAPEO - T1 WG09 -WG10_ (t1 WG10).arff

Conflicto             Conducta                           Lím. Inf.  Lím. Sup.   Resultado del análisis
Reintegración         C1. Muestra solidaridad                   0%         5%                   16,26%
Reducción de tensión  C2. Muestra relajamiento                  3%        14%                    4,27%
Decisión              C3. Muestra acuerdo o aprueba             6%        20%                   22,36%
Control               C4. Da sugerencia u orientación           4%        11%                    7,52%
Evaluación            C5. Da opiniones                         21%        40%                    7,72%
