Nombre del grupo: Ugxf5czF8iscF8Z49XV4AaABAQ.arff

Conflicto             Conducta                           Lím. Inf.  Lím. Sup.   Resultado del análisis
Reintegración         C1. Muestra solidaridad                   0%         5%                    8,65%
Reducción de tensión  C2. Muestra relajamiento                  3%        14%                   15,60%
Decisión              C3. Muestra acuerdo o aprueba             6%        20%                   26,47%
Control               C4. Da sugerencia u orientación           4%        11%                    5,11%
Evaluación            C5. Da opiniones                         21%        40%                    7,08%
Comunicación          C6. Da información                       14%        30%                   32,24%
Comunicación          C7. Pide información                      2%        11%                    1,05%
Evaluación            C8. Pide opinión                          1%         9%                    2,88%
Control               C9. Pide sugerencia u orientación         0%         5%                    0,00%
Decisión              C10. Muestra desacuerdo                   3%        13%                    0,26%
Reducción de tensión  C11. Muestra tensión o molestia           1%        10%                    0,66%
Reintegración         C12. Muestra antagonismo                  0%         7%                    0,00%


Nombre del grupo: UgwzB6kL5XbrMhu5N4t4AaABAQ.arff

Conflicto             Conducta                           Lím. Inf.  Lím. Sup.   Resultado del análisis
Reintegración         C1. Muestra solidaridad                   0%         5%                    9,71%
Reducción de tensión  C2. Muestra relajamiento                  3%        14%                    4,76%
Decisión              C3. Muestra acuerdo o aprueba             6%        20%                   35,71%
Control               C4. Da sugerencia u orientación           4%        11%                    4,76%
Evaluación            C5. Da opiniones                         21%        40%                    7,88%
Comunicación          C6. Da información                       14%        30%                   32,97%
Comunicación          C7. Pide información                      2%        11%                    0,73%
Evaluación            C8. Pide opinión                          1%         9%                    2,01%
Control               C9. Pide sugerencia u orientación         0%         5%                    0,00%
Decisión              C10. Muestra desacuerdo                   3%        13%                    0,73%
Reducción de tensión  C11. Muestra tensión o molestia           1%        10%                    0,73%
Reintegración         C12. Muestra antagonismo                  0%         7%                    0,00%


Nombre del grupo: Ugw-lxEw-kuvGuRrFg54AaABAQ.arff

Conflicto             Conducta                           Lím. Inf.  Lím. Sup.   Resultado del análisis
Reintegración         C1. Muestra solidaridad                   0%         5%                    8,74%
Reducción de tensión  C2. Muestra relajamiento                  3%        14%                    7,17%
Decisión              C3. Muestra acuerdo o aprueba             6%        20%                   35,49%
Control               C4. Da sugerencia u orientación           4%        11%                    4,20%
Evaluación            C5. Da opiniones                         21%        40%                    6,82%
Comunicación          C6. Da información                       14%        30%                   33,39%
Comunicación          C7. Pide información                      2%        11%                    1,05%
Evaluación            C8. Pide opinión                          1%         9%                    1,92%
Control               C9. Pide sugerencia u orientación         0%         5%                    0,52%
Decisión              C10. Muestra desacuerdo                   3%        13%                    0,35%
Reducción de tensión  C11. Muestra tensión o molestia           1%        10%                    0,35%
Reintegración         C12. Muestra antagonismo                  0%         7%                    0,00%


Nombre del grupo: UgyTUFiBs9dPbqTBSOx4AaABAQ.arff

Conflicto             Conducta                           Lím. Inf.  Lím. Sup.   Resultado del análisis
Reintegración         C1. Muestra solidaridad                   0%         5%                    8,29%
Reducción de tensión  C2. Muestra relajamiento                  3%        14%                    6,53%
Decisión              C3. Muestra acuerdo o aprueba             6%        20%                   28,89%
Control               C4. Da sugerencia u orientación           4%        11%                    3,52%
Evaluación            C5. Da opiniones                         21%        40%                    5,28%
Comunicación          C6. Da información                       14%        30%                   42,46%
Comunicación          C7. Pide información                      2%        11%                    1,76%
Evaluación            C8. Pide opinión                          1%         9%                    2,51%
Control               C9. Pide sugerencia u orientación         0%         5%                    0,00%
