Nombre del grupo: UgxxiQFpnNV-fDPIWwZ4AaABAQ.arff

Conflicto             Conducta                           Lím. Inf.  Lím. Sup.   Resultado del análisis
Reintegración         C1. Muestra solidaridad                   0%         5%                    0,00%
Reducción de tensión  C2. Muestra relajamiento                  3%        14%                    0,00%
Decisión              C3. Muestra acuerdo o aprueba             6%        20%                    0,00%
Control               C4. Da sugerencia u orientación           4%        11%                    0,00%
Evaluación            C5. Da opiniones                         21%        40%                    0,00%
Comunicación          C6. Da información                       14%        30%                    0,00%
Comunicación          C7. Pide información                      2%        11%                    0,00%
Evaluación            C8. Pide opinión                          1%         9%                  100,00%
Control               C9. Pide sugerencia u orientación         0%         5%                    0,00%
Decisión              C10. Muestra desacuerdo                   3%        13%                    0,00%
Reducción de tensión  C11. Muestra tensión o molestia           1%        10%                    0,00%
Reintegración         C12. Muestra antagonismo                  0%         7%                    0,00%


Nombre del grupo: UgwwiBGegHPlK0xzccF4AaABAQ.arff

Conflicto             Conducta                           Lím. Inf.  Lím. Sup.   Resultado del análisis
Reintegración         C1. Muestra solidaridad                   0%         5%                  100,00%
Reducción de tensión  C2. Muestra relajamiento                  3%        14%                    0,00%
Decisión              C3. Muestra acuerdo o aprueba             6%        20%                    0,00%
Control               C4. Da sugerencia u orientación           4%        11%                    0,00%
Evaluación            C5. Da opiniones                         21%        40%                    0,00%
Comunicación          C6. Da información                       14%        30%                    0,00%
Comunicación          C7. Pide información                      2%        11%                    0,00%
Evaluación            C8. Pide opinión                          1%         9%                    0,00%
Control               C9. Pide sugerencia u orientación         0%         5%                    0,00%
Decisión              C10. Muestra desacuerdo                   3%        13%                    0,00%
Reducción de tensión  C11. Muestra tensión o molestia           1%        10%                    0,00%
Reintegración         C12. Muestra antagonismo                  0%         7%                    0,00%


Nombre del grupo: Diseño_Grupo_01.arff

Conflicto             Conducta                           Lím. Inf.  Lím. Sup.   Resultado del análisis
Reintegración         C1. Muestra solidaridad                   0%         5%                   14,74%
Reducción de tensión  C2. Muestra relajamiento                  3%        14%                    5,85%
Decisión              C3. Muestra acuerdo o aprueba             6%        20%                   16,23%
Control               C4. Da sugerencia u orientación           4%        11%                    9,77%
Evaluación            C5. Da opiniones                         21%        40%                   14,62%
Comunicación          C6. Da información                       14%        30%                   25,12%
Comunicación          C7. Pide información                      2%        11%                    3,89%
Evaluación            C8. Pide opinión                          1%         9%                    5,73%
Control               C9. Pide sugerencia u orientación         0%         5%                    1,08%
Decisión              C10. Muestra desacuerdo                   3%        13%                    0,83%
Reducción de tensión  C11. Muestra tensión o molestia           1%        10%                    2,13%
Reintegración         C12. Muestra antagonismo                  0%         7%                    0,00%


Nombre del grupo: Diseño_Grupo_08.arff

Conflicto             Conducta                           Lím. Inf.  Lím. Sup.   Resultado del análisis
Reintegración         C1. Muestra solidaridad                   0%         5%                   16,47%
Reducción de tensión  C2. Muestra relajamiento                  3%        14%                    5,32%
Decisión              C3. Muestra acuerdo o aprueba             6%        20%                   10,64%
Control               C4. Da sugerencia u orientación           4%        11%                   12,25%
Evaluación            C5. Da opiniones                         21%        40%                   14,46%
Comunicación          C6. Da información                       14%        30%                   25,30%
Comunicación          C7. Pide información                      2%        11%                    5,12%
Evaluación            C8. Pide opinión                          1%         9%                    6,02%
Control               C9. Pide sugerencia u orientación         0%         5%                    0,60%
Decisión              C10. Muestra desacuerdo                   3%        13%                    1,51%
Reducción de tensión  C11. Muestra tensión o molestia           1%        10%                    2,31%
Reintegración         C12. Muestra antagonismo                  0%         7%                    0,00%


Nombre del grupo: Diseño_ Grupo_06.arff

Conflicto             Conducta                           Lím. Inf.  Lím. Sup.   Resultado del análisis
Reintegración         C1. Muestra solidaridad                   0%         5%                   13,74%
Reducción de tensión  C2. Muestra relajamiento                  3%        14%                    6,25%
Decisión              C3. Muestra acuerdo o aprueba             6%        20%                   10,05%
Control               C4. Da sugerencia u orientación           4%        11%                   12,45%
Evaluación            C5. Da opiniones                         21%        40%                   14,73%
Comunicación          C6. Da información                       14%        30%                   27,84%
Comunicación          C7. Pide información                      2%        11%                    4,63%
Evaluación            C8. Pide opinión                          1%         9%                    4,88%
Control               C9. Pide sugerencia u orientación         0%         5%                    0,91%
Decisión              C10. Muestra desacuerdo                   3%        13%                    1,28%
