Nombre del grupo: UgxxiQFpnNV-fDPIWwZ4AaABAQ.arff

Conflicto             Conducta                           Lím. Inf.  Lím. Sup.   Resultado del análisis
Reintegración         C1. Muestra solidaridad                   0%         5%                    0,00%
Reducción de tensión  C2. Muestra relajamiento                  3%        14%                    0,00%
Decisión              C3. Muestra acuerdo o aprueba             6%        20%                    0,00%
Control               C4. Da sugerencia u orientación           4%        11%                    0,00%
Evaluación            C5. Da opiniones                         21%        40%                    0,00%
Comunicación          C6. Da información                       14%        30%                    0,00%
Comunicación          C7. Pide información                      2%        11%                    0,00%
Evaluación            C8. Pide opinión                          1%         9%                  100,00%
Control               C9. Pide sugerencia u orientación         0%         5%                    0,00%
Decisión              C10. Muestra desacuerdo                   3%        13%                    0,00%
Reducción de tensión  C11. Muestra tensión o molestia           1%        10%                    0,00%
Reintegración         C12. Muestra antagonismo                  0%         7%                    0,00%


Nombre del grupo: Ugx2sVFncwbLn9vMVz14AaABAQ.arff

Conflicto             Conducta                           Lím. Inf.  Lím. Sup.   Resultado del análisis
Reintegración         C1. Muestra solidaridad                   0%         5%                   14,29%
Reducción de tensión  C2. Muestra relajamiento                  3%        14%                    7,14%
Decisión              C3. Muestra acuerdo o aprueba             6%        20%                   35,71%
Control               C4. Da sugerencia u orientación           4%        11%                    7,14%
Evaluación            C5. Da opiniones                         21%        40%                    0,00%
Comunicación          C6. Da información                       14%        30%                    0,00%
Comunicación          C7. Pide información                      2%        11%                   21,43%
Evaluación            C8. Pide opinión                          1%         9%                    7,14%
Control               C9. Pide sugerencia u orientación         0%         5%                    0,00%
Decisión              C10. Muestra desacuerdo                   3%        13%                    7,14%
Reducción de tensión  C11. Muestra tensión o molestia           1%        10%                    0,00%
Reintegración         C12. Muestra antagonismo                  0%         7%                    0,00%


Nombre del grupo: TTC_TP1_G03.arff

Conflicto             Conducta                           Lím. Inf.  Lím. Sup.   Resultado del análisis
Reintegración         C1. Muestra solidaridad                   0%         5%                   14,95%
Reducción de tensión  C2. Muestra relajamiento                  3%        14%                    7,59%
Decisión              C3. Muestra acuerdo o aprueba             6%        20%                   34,48%
Control               C4. Da sugerencia u orientación           4%        11%                   10,91%
Evaluación            C5. Da opiniones                         21%        40%                    5,91%
Comunicación          C6. Da información                       14%        30%                    8,62%
Comunicación          C7. Pide información                      2%        11%                    6,99%
Evaluación            C8. Pide opinión                          1%         9%                    3,80%
Control               C9. Pide sugerencia u orientación         0%         5%                    1,51%
Decisión              C10. Muestra desacuerdo                   3%        13%                    2,83%
Reducción de tensión  C11. Muestra tensión o molestia           1%        10%                    2,41%
Reintegración         C12. Muestra antagonismo                  0%         7%                    0,00%


Nombre del grupo: TTC_TP1_G02.arff

Conflicto             Conducta                           Lím. Inf.  Lím. Sup.   Resultado del análisis
Reintegración         C1. Muestra solidaridad                   0%         5%                   17,20%
Reducción de tensión  C2. Muestra relajamiento                  3%        14%                    7,53%
Decisión              C3. Muestra acuerdo o aprueba             6%        20%                   36,77%
Control               C4. Da sugerencia u orientación           4%        11%                    9,67%
Evaluación            C5. Da opiniones                         21%        40%                    5,04%
Comunicación          C6. Da información                       14%        30%                    6,11%
Comunicación          C7. Pide información                      2%        11%                    7,53%
Evaluación            C8. Pide opinión                          1%         9%                    4,27%
Control               C9. Pide sugerencia u orientación         0%         5%                    1,66%
Decisión              C10. Muestra desacuerdo                   3%        13%                    2,14%
Reducción de tensión  C11. Muestra tensión o molestia           1%        10%                    2,08%
Reintegración         C12. Muestra antagonismo                  0%         7%                    0,00%


Nombre del grupo: TTC_TP1_G08.arff

Conflicto             Conducta                           Lím. Inf.  Lím. Sup.   Resultado del análisis
Reintegración         C1. Muestra solidaridad                   0%         5%                   14,71%
Reducción de tensión  C2. Muestra relajamiento                  3%        14%                    7,70%
Decisión              C3. Muestra acuerdo o aprueba             6%        20%                   38,36%
Control               C4. Da sugerencia u orientación           4%        11%                    9,39%
Evaluación            C5. Da opiniones                         21%        40%                    3,46%
Comunicación          C6. Da información                       14%        30%                    7,75%
Comunicación          C7. Pide información                      2%        11%                    8,03%
Evaluación            C8. Pide opinión                          1%         9%                    5,15%
Control               C9. Pide sugerencia u orientación         0%         5%                    1,24%
Decisión              C10. Muestra desacuerdo                   3%        13%                    1,85%
