@relation 'chat-weka.filters.unsupervised.instance.RemoveWithValues-S0.0-C2-L2,3,4'

@attribute class_conducta {1,2,3,4,5,6,7,8,9,10,11,12}
@attribute class_reaccion {positiva,negativa,pregunta,respuesta}
@attribute class_area {socio-emocional,tarea}
@attribute nombre string
@attribute mensaje string

@data
3,positiva,socio-emocional,Roberto,'Dale dale, joya.'
3,positiva,socio-emocional,Pedro,bárbaro
3,positiva,socio-emocional,Pedro,'Dale, por mi no hay problema.'
1,positiva,socio-emocional,Roberto,gracias
1,positiva,socio-emocional,Pedro,'Buen día gente.'
1,positiva,socio-emocional,Roberto,'Buen dia'
3,positiva,socio-emocional,Ramiro,'Se, posta.'
1,positiva,socio-emocional,Juan,buenas
1,positiva,socio-emocional,Juan,'buenas buenas'
1,positiva,socio-emocional,Pedro,'como estas?'
1,positiva,socio-emocional,María,'Buenas buenas'
1,positiva,socio-emocional,Juan,buenassss!!
1,positiva,socio-emocional,Ramiro,hola!!!!!!
1,positiva,socio-emocional,Roberto,'Hola hola'
1,positiva,socio-emocional,Roberto,'somo un parrr'
3,positiva,socio-emocional,Pedro,'Dale, ni idea yo le mande los numeros para identificar que cosa respondia que, pero si se puede armar todo junto lo hacemos mas tipo informe'
